TRBV,TRBJ,count
TRBV6-4,TRBJ2-4,0
TRBV6-5,TRBJ2-4,12
TRBV6-6,TRBJ2-4,6
TRBV6-7,TRBJ2-4,0
TRBV6-9,TRBJ2-4,0
TRBV7-2,TRBJ2-4,0
TRBV7-3,TRBJ2-4,334
TRBV7-4,TRBJ2-4,0
TRBV7-5,TRBJ2-4,0
TRBV7-6,TRBJ2-4,1
TRBV7-7,TRBJ2-4,0
TRBV7-8,TRBJ2-4,11
TRBV7-9,TRBJ2-4,122
TRBV9,TRBJ2-4,48
TRBV1,TRBJ2-5,0
TRBV10-1,TRBJ2-5,0
TRBV10-2,TRBJ2-5,110
TRBV10-3,TRBJ2-5,1016
TRBV11-1,TRBJ2-5,1
TRBV11-2,TRBJ2-5,639
TRBV11-3,TRBJ2-5,5
TRBV12-1,TRBJ2-5,0
TRBV12-2,TRBJ2-5,0
TRBV12-3,TRBJ2-5,9847
TRBV12-4,TRBJ2-5,168
TRBV12-5,TRBJ2-5,2
TRBV13,TRBJ2-5,492
TRBV14,TRBJ2-5,162
TRBV15,TRBJ2-5,72
TRBV16,TRBJ2-5,0
TRBV18,TRBJ2-5,89
TRBV19,TRBJ2-5,166
TRBV2,TRBJ2-5,261
TRBV20-1,TRBJ2-5,7100
TRBV21-1,TRBJ2-5,31
TRBV23-1,TRBJ2-5,4
TRBV24-1,TRBJ2-5,4723
TRBV25-1,TRBJ2-5,0
TRBV27,TRBJ2-5,242
TRBV28,TRBJ2-5,4265
TRBV29-1,TRBJ2-5,119
TRBV3-1,TRBJ2-5,122
TRBV3-2,TRBJ2-5,3
TRBV30,TRBJ2-5,5750
TRBV4-1,TRBJ2-5,377
TRBV4-2,TRBJ2-5,851
TRBV4-3,TRBJ2-5,119
TRBV5-1,TRBJ2-5,2910
TRBV5-3,TRBJ2-5,0
TRBV5-4,TRBJ2-5,5
TRBV5-5,TRBJ2-5,50
TRBV5-6,TRBJ2-5,1983
TRBV5-7,TRBJ2-5,0
TRBV5-8,TRBJ2-5,0
TRBV6-1,TRBJ2-5,2002
TRBV6-2,TRBJ2-5,37
TRBV6-3,TRBJ2-5,38
TRBV6-4,TRBJ2-5,0
TRBV6-5,TRBJ2-5,429
TRBV6-6,TRBJ2-5,6
TRBV6-7,TRBJ2-5,0
TRBV6-9,TRBJ2-5,144
TRBV7-2,TRBJ2-5,206
TRBV7-3,TRBJ2-5,165
TRBV7-4,TRBJ2-5,0
TRBV7-5,TRBJ2-5,0
TRBV7-6,TRBJ2-5,271
TRBV7-7,TRBJ2-5,194
TRBV7-8,TRBJ2-5,977
TRBV7-9,TRBJ2-5,948
TRBV9,TRBJ2-5,1212
TRBV1,TRBJ2-6,0
TRBV10-1,TRBJ2-6,0
TRBV10-2,TRBJ2-6,4
TRBV10-3,TRBJ2-6,337
TRBV11-1,TRBJ2-6,0
TRBV11-2,TRBJ2-6,0
TRBV11-3,TRBJ2-6,0
TRBV12-1,TRBJ2-6,0
TRBV12-2,TRBJ2-6,0
TRBV12-3,TRBJ2-6,2
TRBV12-4,TRBJ2-6,25
TRBV12-5,TRBJ2-6,0
TRBV13,TRBJ2-6,34
TRBV14,TRBJ2-6,2836
TRBV15,TRBJ2-6,19
TRBV16,TRBJ2-6,0
TRBV18,TRBJ2-6,13
TRBV19,TRBJ2-6,179
TRBV2,TRBJ2-6,2
TRBV20-1,TRBJ2-6,2
TRBV21-1,TRBJ2-6,0
TRBV23-1,TRBJ2-6,0
TRBV24-1,TRBJ2-6,1
TRBV25-1,TRBJ2-6,0
TRBV27,TRBJ2-6,42
TRBV28,TRBJ2-6,101
TRBV29-1,TRBJ2-6,1
TRBV3-1,TRBJ2-6,1
TRBV3-2,TRBJ2-6,0
TRBV30,TRBJ2-6,18
TRBV4-1,TRBJ2-6,10
TRBV4-2,TRBJ2-6,1
TRBV4-3,TRBJ2-6,29
TRBV5-1,TRBJ2-6,13
TRBV5-3,TRBJ2-6,0
TRBV5-4,TRBJ2-6,0
TRBV5-5,TRBJ2-6,0
TRBV5-6,TRBJ2-6,139
TRBV5-7,TRBJ2-6,0
TRBV5-8,TRBJ2-6,0
TRBV6-1,TRBJ2-6,53
TRBV6-2,TRBJ2-6,1809
TRBV6-3,TRBJ2-6,10
TRBV6-4,TRBJ2-6,1
TRBV6-5,TRBJ2-6,10
TRBV6-6,TRBJ2-6,23
TRBV6-7,TRBJ2-6,0
TRBV6-9,TRBJ2-6,0
TRBV7-2,TRBJ2-6,1
TRBV7-3,TRBJ2-6,53
TRBV7-4,TRBJ2-6,0
TRBV7-5,TRBJ2-6,0
TRBV7-6,TRBJ2-6,19
TRBV7-7,TRBJ2-6,6
TRBV7-8,TRBJ2-6,51
TRBV7-9,TRBJ2-6,17
TRBV9,TRBJ2-6,0
TRBV1,TRBJ2-7,221
TRBV10-1,TRBJ2-7,240
TRBV10-2,TRBJ2-7,350
TRBV10-3,TRBJ2-7,2121
TRBV11-1,TRBJ2-7,45
TRBV11-2,TRBJ2-7,100
TRBV11-3,TRBJ2-7,0
TRBV12-1,TRBJ2-7,0
TRBV12-2,TRBJ2-7,35
TRBV12-3,TRBJ2-7,47
TRBV12-4,TRBJ2-7,412
TRBV12-5,TRBJ2-7,2
TRBV13,TRBJ2-7,159
TRBV14,TRBJ2-7,469
TRBV15,TRBJ2-7,800
TRBV16,TRBJ2-7,7
TRBV18,TRBJ2-7,33
TRBV19,TRBJ2-7,659
TRBV2,TRBJ2-7,494
TRBV20-1,TRBJ2-7,4611
TRBV21-1,TRBJ2-7,498
TRBV23-1,TRBJ2-7,20
TRBV24-1,TRBJ2-7,449
TRBV25-1,TRBJ2-7,184
TRBV27,TRBJ2-7,1452
TRBV28,TRBJ2-7,1421
TRBV29-1,TRBJ2-7,10968
TRBV3-1,TRBJ2-7,809
TRBV3-2,TRBJ2-7,4
TRBV30,TRBJ2-7,661
TRBV4-1,TRBJ2-7,5979
TRBV4-2,TRBJ2-7,326
TRBV4-3,TRBJ2-7,1129
TRBV5-1,TRBJ2-7,21415
TRBV5-3,TRBJ2-7,0
TRBV5-4,TRBJ2-7,44
TRBV5-5,TRBJ2-7,359
TRBV5-6,TRBJ2-7,3387
TRBV5-7,TRBJ2-7,0
TRBV5-8,TRBJ2-7,27
TRBV6-1,TRBJ2-7,50
TRBV6-2,TRBJ2-7,1584
TRBV6-3,TRBJ2-7,164
TRBV6-4,TRBJ2-7,0
TRBV6-5,TRBJ2-7,10905
TRBV6-6,TRBJ2-7,868
TRBV6-7,TRBJ2-7,0
TRBV6-9,TRBJ2-7,0
TRBV7-2,TRBJ2-7,302
TRBV7-3,TRBJ2-7,287
TRBV7-4,TRBJ2-7,0
TRBV7-5,TRBJ2-7,0
TRBV7-6,TRBJ2-7,748
TRBV7-7,TRBJ2-7,19
TRBV7-8,TRBJ2-7,233
TRBV7-9,TRBJ2-7,2343
TRBV9,TRBJ2-7,2874
